key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,315.35,180.27,1937.0,124.0,209.0,269.0,338.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,194.61,66.17,817.0,95.0,142.0,192.0,219.0,MountainCar-v0,DQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQCNN_PCA_EpsilonGreedy_notes_cpu,1310.16,1106.23,10003.0,183.0,624.0,984.0,1571.0,MountainCar-v0,DDQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQCNN_PCA_EpsilonGreedy_notes_cpu,612.61,419.63,3555.0,92.0,332.0,497.0,757.0,MountainCar-v0,DQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DDQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,211.73,69.85,982.0,89.0,178.0,193.0,240.5,MountainCar-v0,DDQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,1793.34,1358.56,9086.0,232.0,828.5,1353.0,2366.5,MountainCar-v0,DQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,651.51,456.3,3209.0,111.0,330.0,529.0,856.5,MountainCar-v0,DQN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[32~64~64]
Acrobot_DQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,865.38,413.66,3399.0,204.0,571.0,793.0,1069.0,Acrobot-v1,DQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,184.3,116.44,2135.0,73.0,125.0,155.0,205.0,Acrobot-v1,DQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,552.6,522.97,7601.0,71.0,216.5,398.0,717.0,Acrobot-v1,DDQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,1656.28,893.27,5751.0,368.0,1021.0,1446.5,2055.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[32~64~64]
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,544.64,803.35,10003.0,66.0,128.0,207.5,649.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DQCNN_PCA_EpsilonGreedy_notes_cpu,870.68,429.2,2915.0,115.0,560.5,792.0,1060.5,Acrobot-v1,DQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
Acrobot_DDQCNN_PCA_EpsilonGreedy_notes_cpu,150.55,56.72,1341.0,65.0,114.0,138.0,172.0,Acrobot-v1,DDQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,24.99,15.83,143.0,9.0,11.0,21.0,34.0,CartPole-v0,DQN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[32~64~64]
CartPole_DDQCNN_PCA_EpsilonGreedy_notes_cpu,68.93,36.91,315.0,9.0,42.0,63.0,89.0,CartPole-v0,DDQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,47.96,23.44,194.0,9.0,31.0,45.0,61.0,CartPole-v0,DQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DDQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,12.65,5.32,74.0,9.0,10.0,11.0,12.0,CartPole-v0,DDQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
CartPole_DQCNN_PCA_EpsilonGreedy_notes_cpu,66.26,34.13,351.0,9.0,43.0,61.0,84.0,CartPole-v0,DQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
